algorithm,expression_str
baseline,sinh(3)/(-x - atan(atan(x)))
baseline,sin(tan(cos(sqrt(x + sin(2)))))
baseline,-(x - 7)/(3*tanh(x))
baseline,-x + tan(x**(x + 3 - 2/x))
baseline,-tanh(-2*x*cosh(x) + x + 5)
baseline,x + tanh(atan(x)) - sinh(5)
baseline,(x*(x + atan(sin(x))**x))**x
baseline,x**(x*cos(sin(1)**x))
baseline,-tan(sinh(tanh(1)))/(2*x)
baseline,3*x/cos((x**2)**(-2*x))
baseline,25**(tan(x) + tanh(x))
baseline,sqrt(5)*atan(x)/(5*x)
baseline,4*x*(x + 1)
baseline,x*asin(x*x**tanh(x - 4))
baseline,atan(exp(-1)/(5*x*asin(4)))
baseline,5/(2*x - 2)**5
baseline,tanh(log((-5)**x) + atan(exp(3)))
baseline,-3*(-x)**sinh(sinh(x))
baseline,-x/4 + tan(2*x - 5)
baseline,15*x**5*tan(x)**x
baseline,4/x
baseline,x**2/(-4*x - 4*cosh(5))
baseline,x/(x - sin(tanh(cos(x))))
baseline,5 - 40/x**2
baseline,-x - 2 - asin(tan(1))
baseline,4*sinh(x)/(x*sinh(2)**3)
baseline,x*(x - 1)
baseline,-1 - 2*asin(2)/sinh(x)
baseline,2*x - tanh(atan(3)/4)/x
baseline,(atan(x - 5) - 4)**(-x - 4)
baseline,tanh(x + 5) + exp(-3) + 6
baseline,(-x**2 + tanh(x))/cosh(4)
baseline,tan(cos((-x/4 + asin(x))**x))
baseline,-2*x - 1
baseline,5 + pi/(4*(x - asin(x)))
baseline,sin(exp(-15)/(x**2 + 5)**5)
baseline,-x + sqrt(x*exp(x + 5)) + 1
baseline,(x**(-4))**sinh(x)
baseline,sinh((-3)**tanh(log(asin(x))))**x
baseline,(2*x + 3)/(x - 3)
baseline,(-4)**(exp(7 - 2/x)/x)
baseline,x + cosh(sin(log(x)) - 1)**4
baseline,tanh(x - 1)
baseline,-(-tan(5)*cosh(x))**x - 8
baseline,exp((x*(5 - x**2))**(x/2))
baseline,(3**x)**(sqrt(x) + 5)*exp(x)
baseline,-tan(x)**(x - 3/x)/4
baseline,exp(x)*log(sqrt(cos(1)))/x
baseline,4**(-4*sin(x) + 4*asin(x))
baseline,sqrt(-x + tanh(x + sin(x)))
baseline,(-2*x**2 + x + 6)/x
baseline,9 - 8*x
baseline,-cos(x)
baseline,4*tanh(3)/sqrt(cos(x) + 1)
baseline,5 - atan(2**(-x**2))
baseline,-cosh(x) + 4/2**x
baseline,5*x - 4
baseline,x*atan(x) - asin(4)
baseline,sqrt((x + sinh(x) + sin(1))**x)
baseline,-5*x + 5*sinh(x)/2 - sin(1)
baseline,2/(2 - x)
baseline,5 - cosh(x)/(4*(x**x)**x)
baseline,asin(exp(x/5 + x/(5*cosh(x))))
baseline,asin(exp(x)**(cos(tanh(1))/2))
baseline,(-5)**log(tanh(x + pi/4)) - 1
baseline,sinh((-1)**(x/(x**2 - 1)))
baseline,x*log(sqrt(tanh(3))) + 10
baseline,cosh((cos(exp(x)) - pi/2)**x)
baseline,2*x*sinh(x)**(5*(-5)**x)
baseline,x + (-tanh(4))**x - cosh(x - 4)
baseline,96 + 24/sin(x)
baseline,tanh(cosh(3)/4)*atan(tan(x))
baseline,x + sqrt(25 - 5*x)*sqrt(sinh(1))
baseline,4*x**(x**(pi/2 + 4) + 5)
baseline,x*(x + sinh(x + 4) + 4)
baseline,5**(3*x) + tanh(x) - 1
baseline,cos(x) + (x - x**x)/x
baseline,x + x**x + atan(exp(-2)/5)
baseline,x*(8 - pi/2)
baseline,-2*exp(-x)/(x**2*asin(3))
baseline,3*x*tanh(log(tanh(x)) + 4)
baseline,cos(x)
baseline,((x - 3)**x)**x - 7
baseline,log(x*x**(3 - atan(asin(x))))
baseline,x*atan(2)/asin(4) + tanh(x)
baseline,x**2/cos(x/3)
baseline,4 - 3/(x**2*(x + 2))
baseline,x + (4*x)**x + 3
baseline,log((x - 4)**(-(-1)**x - 1/x))
baseline,x + tan(3*(-2)**log(x)) - 3
baseline,(-2)**x + 5
baseline,4 - cos(x**(-4))
baseline,atan(atan(x)) - 1/2
baseline,-atan(4*x/tanh(asin(4)) + 4)
baseline,tan((2*x + 2*exp(x)**x)**x)
baseline,x - sqrt(-5*x - 1)
baseline,x**2 + x/3
baseline,x**2/(cos(x + 1) + 6)
baseline,atan(2*log(tanh(x) + 1))
baseline,x/(x - atan(sqrt(tanh(x))))
baseline,x**4/3 - x**2/3 - sinh(x)
baseline,(asin(x) - 3)*sin(x + cosh(x))
baseline,x + tan(x)**(-1/2 - cos(4)/2)
baseline,-x*(-tanh(1) + sinh(4))
baseline,(4*x/3 - 8/3)/x
baseline,8 - x/2
baseline,(x + sqrt(-exp(x) - 3))/tanh(x)
baseline,x*(-x - asin(x))
baseline,-x + cosh(x**sin(x)) + sin(1)
baseline,-sqrt(5)*sqrt(x) + log(5) - asin(2)
baseline,x/(x*x**(sin(1)/2) - 2)
baseline,-16*atan(4*tanh(x))
baseline,atan(tanh(4))/log(cosh(sqrt(x)))
baseline,(x**sinh(x))**cos(x) + sin(3)
baseline,log(tan(sinh(x) - 4))
baseline,exp(x*(-x + cos(4)/x))
baseline,sqrt(x)*(-x**2 - 2 + pi/2)
baseline,x + tanh(asin(tanh(5))**sinh(4))
baseline,5*x + 5*tanh(atan(x**2) + 5)
baseline,x/(5*((x - 2)*log(x) - 1))
baseline,atan((-tan(x) - 3)**log(x))
baseline,x**exp(4*atan(atan(2)))
baseline,cosh(2**tan(x)*x)
baseline,sinh(5**(x**2) + sqrt(3))
baseline,3/(x*(tan(x) + 3) + sin(x))
baseline,5*pi*x
baseline,atan(-x + exp(x) + 3)
baseline,-12*x - 12*sinh(x) - 50
baseline,(-4)**x
baseline,(x/sqrt(4 - tanh(x)))**x
baseline,(x - exp(-asin(3))*asin(3))**x
baseline,cosh(tanh(2)/x)/x**3
baseline,-sin(x + tanh(2))
baseline,cosh(exp(x - (-5*x/3)**x))
baseline,(x*exp(-x))**x + 5
baseline,x**(atan(1/2)/4)
baseline,-4*exp(x) - 1024
baseline,(-5*x - 45)*exp(-5)
baseline,(-x/cosh(x))**(-tanh(4))
baseline,x + 5*atan(-x + cos(3) + 2)
baseline,-10*x - 15/(x*sinh(3))
baseline,x*exp(-x**2 - x + 1)
baseline,x/(3 - 5*x) - asin(x)
baseline,(-2*x - sin(x) + log(3))/x
baseline,x*(x - 2)*atan(atan(x))
baseline,x + log(-3 + cos(1)/x)
baseline,x**2 - 2
baseline,sinh(x) + 7 + sinh(x)/x
baseline,log((2 - x)*exp(-2))
baseline,cos(1)*cos(exp(4))/sin(x)
baseline,1 - 1/asin(atan(x))
baseline,x*(2*x + asin((-x - 1)/x))
baseline,(x - 243)**cos(4 - atan(2))
baseline,asin(sqrt(x) + log(2)*tanh(x))
baseline,-x/atan(5/(4*sin(cos(4))))
baseline,12*(4 - x)/(x*asin(3))
baseline,tanh(log(x**2 + sin(x - 5)))
baseline,exp(sin(cos(tan(x) + 2)))
baseline,x**sinh((sin(x) + cosh(3))**x)
baseline,(-atan(tanh(x/256 + 3)))**x
baseline,-5*x*atan(x + exp(x) - 4)
baseline,x*(2*x - 8*sinh(2)) - x
baseline,sin(x + 8)
baseline,x*(x - 2)/3 + 5
baseline,-4/((-5)**(cosh(5)/2))**x
baseline,(-1)**(x - 7*sinh(4))
baseline,tan(log(atan(x))) + atan(x) - 5
baseline,-(x + tanh(x*cosh(4)))*tan(1)
baseline,-tanh(2)/sin(sqrt(-log(x)))
baseline,x*(x + tanh(log(4)))/5**x
baseline,-atan(tanh(x*exp(-x)*asin(2)))
baseline,-3*x*cos(tan(x))
baseline,x**(x*(x - 2) - x + tanh(x))
baseline,-x/5 - sin(16/x**4)**x/5
baseline,sinh((x*atan(2))**x) - 1
baseline,x + sinh(x)**(-cos(x))
baseline,sinh(exp(x + sinh(tan(5)**x)))
baseline,tan((-4)**x - tanh(asin(x)))
baseline,-tan(2) + (cos(log(x)) - 3)/x
baseline,-(-2*x - 2*exp(2))**cosh(5)
baseline,cosh(x**2*(x + 2)) + 2
baseline,cosh(x) + atan(atan(x/2))
baseline,sqrt(x**2) + 3
baseline,5*(-x + tanh(3))/atan(x)
baseline,sqrt(x) - x
baseline,x/(x - cosh(cosh(exp(2))))
baseline,(-2)**x - 1 - cos(2)
baseline,-asin(2*tanh(2))/sqrt(asin(x))
baseline,sinh(1/x) + tan(tan(tanh(1)))
baseline,tanh(sin(cos(tanh(sin(x))) + 3))
baseline,x**((-2)**(x/log(-cosh(x))))
baseline,-3*exp(exp(-3))/tanh(5*x)
baseline,cosh(4*log(x)**(-x - 1))
baseline,4**(2*tanh(log(2*x)/x))
baseline,(-4)**(sqrt(-x + x**x)/x)
baseline,x**(2*x) + x**(sqrt(x) + 5)
baseline,(20*x)**x
baseline,-(-7)**((x + 1)**x) - 12
baseline,x**(5 - 2*x)*(x - exp(-4))
baseline,-5*x/(5 - x) - 2 - sinh(1)
baseline,sin(x) - cosh(tan(x**(-atan(4))))
baseline,-x + 1 - 1/x**sin(5)
baseline,x/(-3*x + x*exp(-1) + 15)
baseline,(-sin(x - 4))**cosh(5 + cosh(4))
baseline,-2*x - 2*atan(x) - 6
baseline,exp(x) - 243*exp(15) + 3
baseline,4 + (3**x)**x/x**(sqrt(x))
baseline,6/(exp(x)*tanh(x) + 1)
baseline,x + tanh(2*x) - 3
baseline,log(x) + atan(atan(x - 5)/x)
baseline,x**(-asin(x - 2) + 5/log(x))
baseline,-atan(x*cos(cosh(1)/x))
baseline,-2/(2 - 2/x**2)
baseline,atan((2*x - 5)*log(x)) + 5
baseline,x*(x + 5 - 2/log(x))/5
baseline,x*asin(x)/atan(x*cos(x))
baseline,cos(x + 4) - 1
baseline,-x**2 - 1 + asin(x)/x
baseline,-x + (2/3 - x)/x
baseline,2*x + cosh(sinh(cos(tanh(x))))
baseline,exp(x + (x + 3)/(-2)**tan(x))
baseline,-3 + (x + 2)/x
baseline,-(-x - 5)*cos(x)/5
baseline,cosh(x/(log(x)**2*asin(x)**2))
baseline,tan(3*x)/sqrt(tanh(2))
baseline,(-x + cosh(x))*(x - sqrt(5))/x
baseline,(5*tan(log(5*x)))**cosh(1)
baseline,x*cos(x - exp(-4) + 4) - 1
baseline,tanh(x + asin(tanh(log(-3*x))))
baseline,(x + asin(3))*cosh(tanh(x))
baseline,1/(x**5*sin(sqrt(2)/2))
baseline,-(-x + tanh(x)**(-5/3))*tanh(3)
baseline,x/atan(cosh(x)**exp(x**x))
baseline,x/sinh(1) + cos(tanh(x**x))
baseline,x*exp(tanh(cos(2)/x)**x)
baseline,-x - sin(4)**5 - 1/(243*x)
baseline,asin(exp(-1) + atan(x)/x)
baseline,(-2)**(x + 4) + cos(x) + 4
baseline,-sin((1 - 3*tan(x))*sinh(4))
baseline,x - 1/(x - 2)
baseline,-(x + tanh(x))*asin(2)
baseline,cosh(exp(72)/x**3)
baseline,(x/3 - tan(4)/3 + 2/3)*sinh(x)
baseline,-5/(-x + atan(sinh(5)) + 5)
baseline,-x*asin(x) + sqrt(tanh(sqrt(5)))
baseline,-4*((x + 1)*asin(x) + 1)/x
baseline,x*(12**log(x) + x)
baseline,-4/(x + 4*cosh(atan(x)))
baseline,2**((-x + x**x - 3)/tan(3))
baseline,-2*x - 8
baseline,tanh(tanh(3) - 1/5**(x**2/2))
baseline,10*x/(x - 2) + atan(5)
baseline,cos(1)/(x*tan(x**sin(x)))
baseline,x*(log(-log(x) - 2) - 4)
baseline,tanh((-4)**(-x + cosh(1) + 5))
baseline,-27*x + 27 - 27*asin(4)
baseline,sqrt(x)*tan(cos(1/243))
baseline,x**(-sin(x*tanh(2/x)/5))
baseline,1/cos(2*x)
baseline,-x**2*sin(3)/asin(x/4)
baseline,log(x*atan(2)/5 + x)
baseline,x**(x**(-atan((x + 3)/sinh(5))))
baseline,exp((x - log(x))/(x - sinh(x)))
baseline,log(x) + tan(3*x - 4)
baseline,-x/(2*cosh(1))
baseline,cosh(asin(x*asin(x) + x)) + 1
baseline,-x + asin(tan(x - 2))
baseline,-2*x*sqrt(atan(x))
baseline,sinh(cosh(x) - 2) + 4
baseline,atan(asin(sinh(x - 2) - 4)/5)
baseline,cos(x - 1)**(-1/x)
baseline,x/sqrt(x + 5) + log(3)
baseline,-2*tan(4*x)
baseline,exp(x)
baseline,x + cosh(atan(log(asin(x/2))))
baseline,x + (x - sinh(1) - 1/8)**x
baseline,-exp(x)*tan(25/3)
baseline,sqrt(log(5/x))/(x + 3)
baseline,(x + cos(x - 2))**5/1024
baseline,-sinh(sinh(sin(2/x)))
baseline,-x + sin(x)/x + log(3)/x
baseline,x*(2 - x)**3 - 5
baseline,x**(x/2)
baseline,-2*x*(1/32 - asin(5))
baseline,atan(((-x*sinh(5))**asin(x))**x)
baseline,x - asin(atan(sin(x)) + 3)
baseline,log(x) + asin(x**4*sinh(x)**4)
baseline,asin(tanh(tan(cos(x))*asin(x)))
baseline,-x + x/(4*asin(x**x)**x)
baseline,2/(x*log(log(-3*x/2)))
baseline,-cosh(2*x) + tanh(1)
baseline,25**x - x + 4
baseline,(x - cos(x - 3) + 5)**(-sinh(4))
baseline,(-x + x**(-2))**8/x**2
baseline,(x*(x + 5))**(sqrt(x) + x - 5)
baseline,asin(x + 1 + 4/cosh(2))
baseline,(x*(-2*x - 4))**(x**3)
baseline,4 - x**2/5
baseline,-x + asin(x - 2) - 1
baseline,cos(-x + tan(x - 2) + 1)
baseline,sin(-5*cosh(x) + 5*asin(x) + 20)
baseline,-asin(1/(x - x**2/(-2)**x))
baseline,5*sinh(sqrt(3)*sqrt(x))
baseline,cosh(tanh(3*cosh(log(x))) + 1)
baseline,x + tan(36 + 9*cosh(3))
baseline,sinh(2)**(-4) - 5/(-1)**x
baseline,-(x - 2)*cos(x*tan(x)) + 2
baseline,x*cos(x)**(x**(-3)) + x
baseline,-3**(x**2) - exp(x)
baseline,3*sinh(x) - 13
baseline,-cos(cos(x + 3) + 2)/4
baseline,sqrt(x) - x - 2
baseline,-x/(x**(3/2) + x/3)
baseline,-sinh(4/5)*cosh(x)/(3*x)
baseline,exp(x)
baseline,cosh(x**(-2))/2
baseline,x*exp(-1/(-x**2 - atan(4))**2)
baseline,cos(sin(x**(atan(1/1024)**x)))
baseline,atan(1/6561)**x
baseline,sqrt(2)*sqrt(cos(sqrt(x)))/(4*x)
baseline,-2*x + (5/2 - x/2)/(2*x)
baseline,-x/((-x + cosh(4))*sin(1)) - 2
baseline,3*cos(((-x - 1)/x)**x/2)
baseline,log(2*x + 1 + sqrt(sinh(1)))
baseline,24 - 3*x**(x**(-4))
baseline,sin(x + cosh(1) - exp(x)/x)
baseline,asin(exp(-125*x*cos(x)))
baseline,-4/cos(x*exp(2*x))**x
baseline,-2*asin(5 + 1/x)
baseline,(-3)**(asin(x)/(x - 3))
baseline,(4 - asin(5))*sinh(1/x)
baseline,16/(x - 4)
baseline,x**(-1/sinh(x + 3))
baseline,asin(4*x*tanh(x))
baseline,x/asin(3)**(2/x**sinh(2))
baseline,-2*x + 1/(x*(x - cos(2)))
baseline,-sinh(x*(x + 100) - x)
baseline,-sin(x**9)
baseline,atan((x + pi/4)**exp(cos(x)))
baseline,-x*atan(10*x - tan(x))
baseline,(x + sin(log(x)) - atan(x))**4
baseline,cosh(cosh(asin(x) + 2)) - 20
baseline,x*tan(x**(3/2) - asin(x))
baseline,-5*x - atan(2) + 8
baseline,x*(x - 5)*(x**2 - 1)
baseline,2 + 15*exp(x)/2**x
baseline,x/log(cos(sin(cos(x))**x))
baseline,log(3/(x*(20 - 8*x)))
baseline,sqrt(1 - (1 + 5/log(tan(x)))**2)
baseline,5**(x + cosh(asin(5))**2)
baseline,5**(x**(1/(4 - x)))*x
baseline,x/(6 - asin(x))
baseline,-(sinh(x) + 5)*exp(-4)
baseline,-x*cos(3 - log(5))*tanh(3)
baseline,sinh((-5*x)**(1/(2*x)))
baseline,atan(x + 3 + sinh(4)) + 1
baseline,cos((-4)**(((x + 3)**x)**x)*x)
baseline,x + cos(exp(x)) + 1/3
baseline,sin(x) + tan(3)
baseline,1 - 3*tanh(x + 2)**4
baseline,1/(x**8*sin(x**(1/4))**8)
baseline,-x**4/16 - x + 4
baseline,sin(log(x))**x + log(log(5))
baseline,-3*x - 2*sin(3) + 6
baseline,asin(cosh(1)/(1 - 2*x))
baseline,x**(-3*x**(-x/atan(x) - 5))
baseline,pi*(-x**2 + x + 1/9)/2
baseline,x - cos(1)**5/x**10
baseline,-sinh(x)/5
baseline,sqrt(x + 1/3)
baseline,sinh((-x**x + 5 - asin(2))**x)
baseline,x - x**(x - 5)
baseline,-tan(4 - (x - cos(2))/x)
baseline,(2 - cos(log(x**x) + 2))/x
baseline,-4*x + cosh(2) + 5
baseline,(4*x)**log(4) + 7
baseline,sqrt(sqrt(x) + 3*x + tanh(x))
baseline,pi*x/4 + exp(27)
baseline,-4**x*x**x/x**2
baseline,x + tan(x)*sinh(cosh(cos(x)))
baseline,atan(5**cos(tan(3))*sinh(x))
baseline,2*x - 2*asin(x + 2) - 2*atan(2)
baseline,(x - 5)**(-4 + exp(-2))
baseline,cos(5 + 3/x)
baseline,-sinh(atan(x - atan(sin(x) - 2)))
baseline,20*x**2*cos(x)
baseline,-4/(x*(-2 - 4/x))**x
baseline,sqrt(x)*sqrt(tan(1)) + sinh(cosh(1))
baseline,sinh(x - 1/(4*asin(3)))
baseline,(-x + 2 + sqrt(5))/x**x
baseline,asin(log(x + log(tanh(atan(5)))))
baseline,x - cos(cos(2*sqrt(2)*sqrt(x)))
baseline,sin(tan(x) + atan(5) + 3)
baseline,tan((x - 10)/x) - 4
baseline,-sin(x/asin(cos(x**x)))
baseline,tanh(x/(20*(x - 1)**4))
baseline,-log(x)*sinh(x)/2 - exp(4)
baseline,sqrt((-1/5)**sin(x**2 + 5))
baseline,3**(x**2/(2 - sin(x**2)))
baseline,sin(x + cos(log(5)))
baseline,asin(sqrt(sqrt(x)*(x + 1))/x)
baseline,-5*atan(x**2)
baseline,log(-x + (x**x)**asin(x))
baseline,tanh(2)/(sqrt(x) + exp(-2))
baseline,(4 - sqrt(x))/x - 2/x
baseline,4*x - 4*atan(x - asin(5))**3
baseline,cosh(log((-x**2)**x))
baseline,3*cosh(x)/2 - 3/2
baseline,x**2 - 4 - tan(20)
baseline,cosh(x/4 - tanh(x))**4
baseline,-x**x + tan(2*x) - tan(4)
baseline,x*(x + 2)*tan(x) + x
baseline,x/log(x)**x + atan(x + 2)
baseline,x - tanh((-3 - sin(1))**sin(x))
baseline,sin(x)**(3**(x - tan(x) + 1))
baseline,-x - tanh(x) + cos(tanh(3)/5)
baseline,((-4)**x*(-tanh(2) - asin(2)))**x
baseline,2*exp(x)**x/5 - 2048/5
baseline,atan(3*x) + cos(2) + sinh(2)
baseline,x*sqrt(-x + tan(x))
baseline,(-x + cosh(sin(5)/4))/tanh(1)
baseline,4*x - 4*(-atan(4))**x - 4*E
baseline,tanh(asin(2*x/(x + sin(x))))
baseline,4*x/x**log(exp(x))
baseline,3*(x - 12)**x
baseline,(-4)**(-x + asin(x)) + x
baseline,-4 + sinh(tan(sqrt(1 - x)))/x
baseline,x*sin(x**(-2))
baseline,4*x**x*(x/sinh(x) - 3)
baseline,-4*x*(-x + tanh(1))
baseline,x - 1 + 1/(x*tanh(3)**5)
baseline,(-x - 5)/(x - log(sqrt(x) + 5))
baseline,(-3)**(atan(x + cosh(2))**tanh(x))
baseline,-x + log(tan(4 - cos(6)))
baseline,6*(5 - x)/pi
baseline,-x**x - exp(x) + sin(5*x)
baseline,(2*x)**(sqrt((4*sqrt(3))**x))
baseline,(sqrt(x + sin(x)) - 3)**log(x)
baseline,x - asin(6 - 5*exp(-4))
baseline,exp(5 + x**(-4))
baseline,x + cos(-4**x + atan(4) + 2)
baseline,x + (sin(2**x)**x)**x + 2
baseline,-sin(asin(x) + 6)*tanh(5)
baseline,tanh(asin(tan(x) - 3/x))
baseline,x**log(5)/3
baseline,-x - tanh(x - cos((-tan(5))**x))
baseline,-x*(x - atan(1/x)) + x - 5
baseline,-x/4 - cosh(x)/4 - 7/4
baseline,(x**2)**(log(cos(x))**(-1/3))
baseline,-x/9 + tan(1)/9 + 1/3
baseline,x*exp(-cosh(x) + cosh(4)) - 1
baseline,-2**x + x**x + 6
baseline,cosh(1/x)
baseline,x**2 - exp(-x - 5) - 3
baseline,x
baseline,sinh(x)*cosh(1)
baseline,cosh(cosh(cosh(sinh(x + 1))) + 5)
baseline,tan(x**2)
baseline,(-2)**(-x - 2/5)
baseline,sinh(asin(x) + asin(sinh(x))) + 5
baseline,tan(tan(x - 18))
baseline,x**(2 - (exp(-2)/x)**exp(x))
baseline,(-x - 5)**(-5**cosh(x))
baseline,x - tanh(4) - cos(2) + 5
baseline,(-9**x + x + 5)/asin(x)
baseline,4*cosh(x)/sin(tan(5)) - 1
baseline,x + sinh(tanh(1)/x)
baseline,sinh(x**2*sinh(3/(2*x)))
baseline,x + 2/3
baseline,asin(exp(x - exp(x) - 1))
baseline,exp(cos(-x + tanh(exp(x)) + 2))
baseline,1/(log(x) + log(log(x)))
baseline,2*x - log(x)**exp(tan(x))
baseline,x*(atan(x) - 2/3)
baseline,sqrt(3)*sqrt(-asin(sin(2*x)))
baseline,exp((-5)**atan(x)*asin(5))**x
baseline,5**asin(x - 4 + x**(-5))
baseline,exp(cosh(x - 3125)) + 6
baseline,x**16 - x
baseline,(-asin(4*x))**x*(3 - x)
baseline,cosh(log(x/(x - 5)) - 2)
baseline,-5*tanh(x)/(x*atan(2*x))
baseline,5**cosh(4)/(x**x - 1)
baseline,4*x*(x/5 - 5)
baseline,tanh(4/sinh(log(x + 1)))
baseline,x/(2*x + 2)
baseline,cosh(x**(tanh(x) + tan(2) + 4))
baseline,-x*(4 - cos(4))/2 - cosh(x)/2
baseline,-tan(x*exp(-sinh(5*x))/2)
baseline,(5*cosh(3))**(-x/tan(3) - 4)
baseline,(x + 2)**(x - sin(5*sinh(1)))
baseline,atan(x**sinh(x**2))**(x**2)
baseline,-sin(x + 3)/sqrt(1 - sin(x + 3)**2)
baseline,((2*x)**x)**exp(-2*x)
baseline,100/(x*tanh(5))
baseline,asin(atan(5**x)/(4*x))
baseline,cos(log(x - cos(x) - 1))
baseline,(sqrt(x - 5) + 2)**(-x**x - 1)
baseline,x**sinh(x)*sinh(x)
baseline,(x + 1/4)**(4*x + 4)
baseline,(-x**3 + x/2 + cosh(5))**2
baseline,x*(3 - 2/x) + 4
baseline,log(-x/5)
baseline,cos(x*(x + 15/4))
baseline,-48*(x - 2)/x
baseline,-5**(x*sinh(x)/5 + x) + x
baseline,x**(-1/(-1)**(5*tanh(5)))
baseline,log(x + 3) - 5 - asin(2)
baseline,exp(-3 + exp(-x**2 - 2)/x)
baseline,x*(1 + x**(-atan(4)))
baseline,x - x**(x**exp(x))/4
baseline,-atan(tan(1)/(x*cosh(2)**2))
baseline,-x*sinh(x)*tanh(x**x)
baseline,-atan(exp(atan(x**(-atan(4)))) + 2)
baseline,(-5)**(-x**x + tanh(x))*x - 3
baseline,(x + 5)/(x - atan(sin(x) - 3))
baseline,tanh((x**(5**x))**x + 2)
baseline,1/2 - x/4
baseline,-x**2/5
baseline,atan(cos(x**(x + 1))) + 4
baseline,x + cos(x + 1 - 2/x) - 1
baseline,sinh(log((-6)**x*exp(-3)))
baseline,tan(3) + 5/(5 - 1/tan(x))
baseline,(2*x*exp(-x))**(2*x)
baseline,tan(x) + tan(x)**(x**tanh(x))
baseline,x**(sqrt(x**(4*x))*log(3)**2)
baseline,(4*log((-3)**x))**(x**(-5))
baseline,(4**(-x - 3)*x)**x
baseline,x**cosh(1)/sin(x)
baseline,(x**2)**(2**tan(x) - 1/9)
baseline,(5 - tanh(2))*cosh(x**2 - 5)
baseline,(-x**2 - 1)/(-x - 5)
baseline,atan(x*cosh(x**x))
baseline,x/(atan(tanh(4)) + 1) + sin(2)
baseline,(-5)**(cos(3) + 1/x)*x
baseline,x**(sin(1/(x + 5))/5)
baseline,-2*x**3
baseline,(-9 + 1/(2*x**2))**(-4)
baseline,asin((6*x)**(x/2)) - 2
baseline,5**(sin(x) - 6)*x
baseline,-sin(4*x**2)/tan(x) - 2
baseline,x*(x - 2)
baseline,x - 1 + cosh(x)/x
baseline,-(-sqrt(x) + x)*asin(3*x - 4)
baseline,-sqrt(x) - tan(exp(x))
baseline,(-tan(2))**((-4)**(4 + 2/(3*x)))
baseline,-125*sin(3)**3/x
baseline,(-tanh(x) - 1)**3
